`,name,unit,invert,weighting,type,min,max,description,detail,source,year
1.1.1,Internet users,%,,0.125,continuous,0,100,"This indicator measures the percentage of households with Internet. This can include both estimates and survey data corresponding to the proportion of households with Internet. The proportion of households with Internet access at home is calculated by dividing the number of in-scope households with Internet access by the total number of in-scope households. Internet users are individuals who have used the Internet (from any location) in the last 12 months. Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",ITU,Latest as available for country
1.1.2,Average fixed broadband internet upload speed,Mbps,,0.125,continuous,0,100,This measures average fixed broadband upload speed. The average is taken based on Ookla’s analysis of Speedtest data collected between July 1st 2020 – June 30 2021 of the calendar year. A faster speed is a positive indicator of better performance.,"Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Ookla Speedtest,2021
1.1.3,Average fixed broadband internet download speed,Mbps,,0.125,continuous,0,100,This measures average fixed broadband download speed. The average is taken based on Ookla’s analysis of Speedtest data collected between July 1st 2020 – June 30 2021 of the calendar year. A faster speed is a positive indicator of better performance.,"Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Ookla Speedtest,2021
1.1.4,Average mobile internet upload speed,Mbps,,0.125,continuous,0,100,This measures average mobile broadband upload speed. The average is taken based on Ookla’s analysis of Speedtest data collected between July 1st 2020 – June 30 2021 of the calendar year. A faster speed is a positive indicator of better performance.,"Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Ookla Speedtest,2021
1.1.5,Average mobile internet download speed,Mbps,,0.125,continuous,0,100,This measures average mobile broadband download speed. The average is taken based on Ookla’s analysis of Speedtest data collected between July 1st 2020 – June 30 2021 of the calendar year. A faster speed is a positive indicator of better performance.,"Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Ookla Speedtest,2021
1.1.6,Is home internet connectivity for students stable and fast for online classes? (Overall),score,,0.125,discrete,1,3,"The survey question corresponding to this is: If you are conducting classes online, do students have a stable and fast internet connection to enable them to attend classes without interruption?

a. Internet quality is an issue for most students, causing disruption to their learning experience
b. Internet quality is an issue for some students, causing disruption to their learning experience
c. Internet quality is not an issue for most students","1 = No
2 = No, but only for some students
3 = Yes

Linear transformation of score to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
1.1.6a,Is home internet connectivity for students stable and fast for online classes? (School),score,,0.333,discrete,1,3,"The survey question corresponding to this is: If you are conducting classes online, do students have a stable and fast internet connection to enable them to attend classes without interruption?

a. Internet quality is an issue for most students, causing disruption to their learning experience
b. Internet quality is an issue for some students, causing disruption to their learning experience
c. Internet quality is not an issue for most students","1 = No
2 = No, but only for some students
3 = Yes

Linear transformation of score to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
1.1.6b,Is home internet connectivity for students stable and fast for online classes? (Universities),score,,0.333,discrete,1,3,"The survey question corresponding to this is: If you are conducting classes online, do students have a stable and fast internet connection to enable them to attend classes without interruption?

a. Internet quality is an issue for most students, causing disruption to their learning experience
b. Internet quality is an issue for some students, causing disruption to their learning experience
c. Internet quality is not an issue for most students","1 = No
2 = No, but only for some students
3 = Yes

Linear transformation of score to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
1.1.6c,Is home internet connectivity for students stable and fast for online classes? (TVET),score,,0.333,discrete,1,3,"The survey question corresponding to this is: If you are conducting classes online, do students have a stable and fast internet connection to enable them to attend classes without interruption?

a. Internet quality is an issue for most students, causing disruption to their learning experience
b. Internet quality is an issue for some students, causing disruption to their learning experience
c. Internet quality is not an issue for most students","1 = No
2 = No, but only for some students
3 = Yes

Linear transformation of score to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
1.1.7,Mobile broadband cost (% of monthly GNI per capita),%,TRUE,0.125,continuous,0,100,"The data-only mobile-broadband basket refers to the price of a monthly subscription to an entry level mobile-broadband plan. It is calculated as a percentage of a country’s average monthly GNI p.c. The data-only mobile-broadband basket is based on a monthly data usage of (a minimum of) 1.5 GB (irrespective of the device used). For plans that limit the monthly amount of data transferred by including data volume caps below 1.5 GB, the cost for the additional bytes is added to the basket. The minimum speed of a broadband connection is 256 kbit/s. The data only mobile-broadband basket is based on the most common contract modality (prepaid/postpaid) in the country. If more than 50 per cent of mobile-cellular subscriptions are postpaid, then a postpaid plan is chosen. Otherwise a prepaid plan is selected

Gross National Income (GNI) per capita data is from the World Bank World Development Indicators, 2019 (or last available year). GNI per capita current LCU is used for all cases, unless when prices are registered in USD. In those cases the Atlas method (current US$) is used instead.","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",ITU,Latest as available for country
