name,overall_score,1,2,3,4,1.1,1.2,1.3,1.4,2.1,2.2,3.1,3.2,4.1,4.2,4.3,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.2.6,1.2.7,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.3.6,1.3.7,1.3.8,1.4.1,1.4.2,2.1.1,2.1.2,2.1.3,2.1.4,2.2.1,2.2.2,2.2.3,3.1.1,3.1.2,3.1.3,3.2.1,3.2.2,3.2.3,3.2.4,3.2.5,3.2.6,3.2.7,3.2.8,3.2.9,3.2.10,4.1.1,4.1.2,4.1.3,4.1.4,4.2.1,4.2.2,4.2.3,4.2.4,4.2.5,4.2.6,4.3.1,4.3.1.1,4.3.1.2,4.3.1.3,4.3.2,4.3.3,4.3.4,4.3.5,4.3.6,4.3.7,4.3.8,BG1,BG2,BG3,BG4,BG5,BG6,BG7,BG8,BG9,BG10,BG11,BG12,BG13,BG14,BG15,BG16,BG17,BG18,BG19,BG20,BG21,BG22,BG23,BG24
Algeria,62.8,59.2,69.1,62.8,58.3,61.3,30.6,46.6,98.3,81.3,44.8,66.7,58.9,58.3,55.5,61.1,74.4,8.64,103.9,8.2,2.1,1.87,8.34,49,9.85,15.96,41,32595,98.97,98.97,76.18,1,1,0,1,0,100,96.7,32.9,2.214,1.968,4.19,48.4,3457,9960,4,1,1,2,46,0,68,90,52.2,64,1,68,2,81.4,8,1,3,2,48,56,32,30,54,2,2,0,0,1,1,1,1,2,0,1,149,45.2,73.7,3570,27.6,0.2,99.5,2,64.3,2.3,3.8,36,4,0.5,27.86,16.43,6,2,62.9,73,67,97,95,3790459
Angola,46.3,31.7,72.1,34.1,51.2,27.1,33.4,36.9,29.6,81.4,53.5,40,28.3,41,53.7,58.9,9.6,0.7,44.6,28.2,13.3,7.53,14.97,31,10.83,24.77,39,6939,90,87.2,30,1,2,0,0,0.59,61,6.2,31.6,1.244,1.244,6.92,44,8026,3246,4,0,0,0,46,1,46,90,26,28,0,48,1,66,5.2,1,2,2,44,48,28,28,60,1,0,1,0,1,2,1,1,2,1,0,76,33.9,66.8,2140,51.3,22.7,45.67,2.1,16.7,2,3.7,27,3,0.4,11.83,21.03,10.5,10,36,37.3,26.8,75,65,230610
Argentina,77.5,71.5,82.2,84.6,72.8,71.9,36.4,85.5,92.4,87.7,71.2,93.3,75.9,86.9,54.8,76.6,90,21.18,121.2,10.2,7.1,18.51,53.76,28,9.66,28.68,38,42275,98.87,98.5,97.68,2,2,2,2,5.92,100,84.9,54.3,0.43,0.968,5.05,65.2,3504,3184,4,2,2,2,54,2,62,94,50.9,60,2,56,3,99,10.9,3,3,2,40,34,36,26,76,1,0,0,1,2,3,1,1,2,3,0,436.7,45.6,92.1,9070,42.9,0.5,100,2.2,62.8,1.9,7,42,5.3,0.8,38.65,6.55,9,7,85.5,88,79,98,91,9571562
Australia,81.2,79.1,87.4,81.1,71.1,77,47.7,91.7,100,99.4,63.2,93.3,68.8,84.6,55.3,73.3,88,35.68,107.7,2.1,4.2,25,76.98,22,15.55,114.9,28,67209,99.5,99.5,99.5,2,2,2,2,11.63,100,100,100,0.463,0.792,1.15,292,4006,2724,4,2,2,2,36,3,32,66,90.6,56,2,14,3,100,12.7,3,2,2,56,46,26,22,66,4,2,1,1,2,3,1,1,0,3,0,1579,25.8,86.2,53690,34.4,0.4,100,11.2,100,1.5,9,77,8.2,0.9,22.85,2.65,2,4,89.6,95,93,95,91,9099619
Austria,78.5,74.3,83.7,77.9,80.9,77.3,45.6,74.5,100,93.3,64.5,80,75.8,90.4,52.2,100,90.4,28.93,119,3.2,1,24.65,107.76,19,14.67,61.06,27,52219,99,98,98,2,2,0,1,11.51,100,100,75,0.176,0.761,0.84,221.7,3526,3496,4,0,2,2,48,3,50,72,88.8,66,2,30,3,100,12.5,3,3,2,68,30,24,18,60,4,2,1,1,2,3,1,1,2,3,2,492.9,8.7,58.7,48350,30.8,0.5,100,0,100,1.3,8.2,76,7.7,0.9,7.59,1.08,3,1,87.5,94,91,97,96,2606000
Bahrain,76.5,71.8,77.2,85.6,75.2,68,46.9,72.6,100,92.3,46.9,93.3,77.8,83.7,62.1,80,99.5,8.75,102.8,1.1,0,17.33,66.29,11,15.16,81.69,24,453431,100,100,100,2,2,0,0,13.54,100,100,73.3,0.988,1.242,2.02,275.2,3380,7592,4,2,2,2,38,3,50,86,59.7,70,2,54,3,97.5,9.5,3,3,2,58,64,34,40,60,4,2,1,1,2,3,0,1,2,3,1,42.4,1.5,89.5,19900,34.4,0.6,100,33.9,100,2.1,2.5,42,6.3,0.8,1.47,0,1,0,99.7,94,93,100,100,148928
Bangladesh,66.4,56.7,76.9,74,59.3,49.4,35.7,57.2,84.3,83.5,63.7,86.7,61.2,48.2,64.2,65.6,39.4,6.1,107,13.2,18.6,38.39,39.45,12,8.01,12.25,42,60354,99.62,97.8,97.8,1,2,0,1,0.12,93.2,76.8,39.4,1.334,1.798,2.44,18.6,3467,5485,4,1,2,1,52,1,50,96,33.3,74,2,70,2,74.9,6.2,2,1,2,52,72,42,40,62,2,1,1,0,2,2,1,1,2,0,0,410.8,166.3,38.2,2030,32.4,2.6,92.2,0.1,40,2.1,6,26,4.6,0.5,40.84,123.85,10,18,24.8,76,66,97,79,10052819
Belgium,79.6,78.4,87.6,72.7,73.7,78.9,46.5,88.4,100,99.6,63.5,80,65.4,95.9,50.7,74.4,90.9,40.85,99.5,3.1,0,22.21,112.07,17,15.03,66.08,30,134827,100,100,100,2,2,2,3,3.44,100,100,100,0.376,0.401,0.82,276.4,3420,3381,4,0,2,2,52,3,20,68,86.8,56,2,18,2,100,12.1,3,4,2,64,30,20,24,54,4,2,1,1,2,1,1,1,2,2,0,638.6,11.6,98.1,45750,27.2,0.1,100,4.3,100,1.5,7.5,76,7.6,0.8,10.61,0.98,3,0,91.5,97,94,97,97,4734210
Benin,44.5,31.2,66.6,35.6,49.2,40.6,32.3,22.4,29.5,74.1,51.8,40,31.2,46.4,51.3,50,4.6,0.25,91.9,10.2,3.5,12.56,15.65,46,9.71,20.29,36,29655,98,80,46,0,0,0,0,0.8,58.1,9.4,14.5,3.278,4.098,24.32,44,5188,6507,2,0,1,1,48,1,34,76,20.7,40,0,48,1,42.4,3.8,3,2,2,44,42,38,38,38,0,0,0,0,1,3,1,1,1,0,0,16.3,12.4,48.4,1280,47.8,22.4,40.32,2.4,3.7,2.1,4.6,41,5.3,0.4,3.13,9,5,3,25.8,49,44,86,83,29981
Botswana,57.6,50,79.4,38.8,60.3,62.9,33.1,56.6,47.2,90.4,57.3,30,47.7,80,51.9,48.9,70.6,11.04,162.8,36.1,-3.7,11.46,12.29,46,10.94,26.63,36,47554,98,97,77,0,2,1,1,4.17,71.4,28.9,66.4,0.964,1.383,4.45,71,3771,6331,3,0,0,1,51,2,60.8,92.2,38.7,51,0,66.7,1,86.8,9.6,3,3,2,43.1,72.5,21.6,15.7,47.1,0,0,0,0,2,2,1,0,2,0,0,18.1,2.4,70.9,6640,53.3,3.9,70.18,0,86.3,1.8,7.6,60,4.8,0.5,1.5,0.85,22,-3,64,61,39,82,85,259525
Brazil,79.9,72.1,86,92.6,67.8,63.5,42.8,82.6,99.6,89.4,79,100,85.3,66.7,63.5,73.4,83.2,17.1,96.8,10,9.4,58.39,100.46,14,10.45,31.34,38,29238,90.27,90.11,88.23,2,2,2,3,1.88,99.7,99.6,63.4,0.667,2.653,1.99,63,2590,2157,4,3,2,2,58,3,64,98,63.5,76,2,62,3,93.2,8,3,1,2,58,48,46,34,76,3,2,0,1,2,3,1,0,2,3,0,1601,213.3,87.1,7850,53.4,1.7,99.8,2,83.2,2.4,6.9,38,5.9,0.8,172.25,39.51,9,9,81.3,90,81,96,87,36344670
Bulgaria,78.9,77.2,82.1,81.3,71.1,73.2,55.6,79.8,100,88.1,70.1,80,82.7,81.5,48.6,83.3,78.8,30.44,114.4,8.3,4,68.2,82.45,12,19.42,117.92,25,538643,99.99,99.99,99.85,2,2,1,1,10.16,100,100,57,0.977,1.629,1.72,99.6,3339,3329,4,0,2,2,62,3,58,84,73.9,70,2,56,3,98.4,11.4,3,2,2,34,40,26,24,56,3,2,1,0,2,3,1,1,2,3,0,79.3,6.9,75.7,9630,41.3,0.2,100,2.9,100,1.6,6.7,44,6.3,0.8,4.87,2.07,8,4,70.2,96,88,100,96,2115053
Burkina Faso,42.8,31.1,66.2,31.6,42.4,43.3,29.9,19,32.1,71.9,54.7,30,33.1,22.2,52.7,52.2,25.9,0.07,105.8,30.4,6.4,10.89,23.08,77,9.79,17.38,51,13081,92,48.4,26.92,0,0,0,1,0.47,68.7,1.9,16.8,6.374,6.374,33.66,29.1,3881,7218,3,0,0,1,40,1,54,90,18.4,50,0,60,0,39.3,1.6,0,3,2,54,44,30,34,44,0,0,0,0,1,2,1,1,2,0,0,19.5,21.5,30.6,770,35.3,11.2,18.38,0,1.4,2.5,3.7,40,5.2,0.4,4.6,16.3,17,6,22,56,39,94,88,13979
Cambodia,61.4,55.9,75,57.8,50.1,53.4,36.7,49.9,83.4,82.1,60.8,66.7,49,50,26.9,73.4,21.3,1.4,126.1,0,2,28.51,27.32,12,10.41,22.83,31,32931,99,88.6,91.5,1,1,0,1,1.18,100,66.9,36.8,1.588,1.588,12,138.4,3392,5251,4,1,1,1,36,2,40,84,31.1,72,0,52,3,80.5,5,3,0,0,58,44,26,30,60,3,2,0,1,2,3,1,1,2,0,0,26.6,17,24.2,1500,37.9,0.4,93,1.2,6.6,2,3.1,21,5.8,0.5,5.27,10.74,0,2,32.9,80,80,100,98,233772
