id,description,invert,diverging,type,weighting,min,max,unit,source,long-description,notes,zero,one,two,three,four,five,six
1,Availability,,,calculated,0.4,0,100,Score 0-100 where 100=most Inclusive Internet environment,EIU calculation,The Availability category examines the quality and breadth of available infrastructure required for access and levels of Internet usage.,,,,,,,,
1.1,Usage,,,calculated,0.25,0,100,Score 0-100 where 100=most Inclusive Internet environment,EIU calculation,"Usage measures the size of the connected population, in terms of Internet and mobile connectivity.",,,,,,,,
1.1.1,Internet users,,,,0.2,1.3,100,% of households,Gallup; ITU; ITU; Economist Impact estimate,Percentage of households with Internet,"Can include both estimates and survey data corresponding to the proportion of households with Internet. The Internet is a world-wide public computer network. It provides access to a number of communication services including the World Wide Web and carries email;  news;  entertainment and data files. Access is not assumed to be only via a computer - it may also be by mobile phone;  games machine;  digital TV etc. The proportion of households with Internet access at home is calculated by dividing the number of in-scope households with Internet access by the total number of in-scope households. Internet users are individuals who have used the Internet (from any location) in the last 12 months. Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",,,,,,,
1.1.2,Fixed-line broadband subscribers,,,,0.2,0,46.92,Per 100 inhabitants,ITU,Fixed-line broadband subscriptions per 100 inhabitants,"Fixed broadband subscriptions refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s. This includes cable modem, DSL, fiber-to-the-home/building, other fixed (wired)-broadband subscriptions, satellite broadband and terrestrial fixed wireless broadband. This total is measured irrespective of the method of payment. It excludes subscriptions that have access to data communications (including the Internet) via mobile-cellular networks. It should include fixed WiMAX and any other fixed wireless technologies. It includes both residential subscriptions and subscriptions for organizations.",,,,,,,
1.1.3,Mobile subscribers,,,,0.2,29.5,130,Per 100 inhabitants,ITU,Mobile-cellular telephone subscriptions per 100 inhabitants,"Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service that provide access to the PSTN using cellular technology. This includes (and is split into) the number of postpaid subscriptions, and the number of active prepaid accounts (i.e. that have been used during the last three months) and applies to all mobile cellular subscriptions that offer voice communications. It excludes subscriptions via data cards or USB modems, subscriptions to public mobile data services, private trunked mobile radio, telepoint, radio paging and telemetry services. There is a cap on mobile subscriptions at 130. All countries that exceed this value will receive the maximum score of 100.  This cap accounts for differences in SIM user behavior, including influxes in tourism, migrant workers, and other factors that can play into the over-estimation of the number of subscribers.",,,,,,,
1.1.4,Gender gap in internet access,true,true,,0.2,-23.7,86.7,% difference,Economist Impact Estimates; Economist Impact estimate; Gallup; ITU,Gap between male and female access to the Internet,"This measures the gap between male and female access to the Internet. Positive values indicate that male access exceeds female access. Negative values indicate greater female connectivity.<br>Note:  Economist Impact calculates the gender gap ratio according to the following formula: (Male access - Female access) / Male access. In the second and third editions of the index, Economist Impact calculated the gender gap ratio with female access as the denominator: (Male access - Female access) / Female access.  Scores for these editions have been updated to reflect this change.",,,,,,,
1.1.5,Gender gap in mobile phone access,true,true,,0.2,-14.1,68.6,% difference,Economist Impact estimate; Gallup; ITU,Gap between male and female access to mobile phone,"This measures the gap between male and female access to mobile phones. Positive values indicate that male access exceeds female access. Negative values indicate greater female connectivity.<br>Note:  Economist Impact calculates the gender gap ratio according to the following formula: (Male access - Female access) / Male access. In the second and third editions of the index, Economist Impact calculated the gender gap ratio with female access as the denominator: (Male access - Female access) / Female access. Scores for these editions have been backscored to reflect this change.",,,,,,,
1.2,Quality,,,calculated,0.25,0,100,Score 0-100 where 100=most Inclusive Internet environment,EIU calculation,Quality measures the quality of experience the connected population receives while using the Internet.,,,,,,,,
1.2.1,Average fixed broadband upload speed,,,,0.1428571429,0.83,234.46,Mbps,Ookla,Measure of average fixed-line broadband upload speed,This measures average fixed broadband upload speed. Averages for all years are based on Ookla’s analysis of Speedtest data collected between Oct 1st – Sep 30th of each calendar year. A faster speed is a positive indicator for better performance.,,,,,,,
1.2.2,Average fixed broadband download speed,,,,0.1428571429,2.64,250.42,Mbps,Ookla,Measure of average fixed-line broadband download speed,This measures average fixed broadband download speed. Averages for all years are based on Ookla’s analysis of Speedtest data collected between Oct 1st – Sep 30th of each calendar year. A faster speed is a positive indicator for better performance.,,,,,,,
1.2.3,Average fixed broadband latency,true,,,0.1428571429,0,250,ms,Ookla,Measure of how long it takes data to travel between its source and destination,This measures average fixed broadband latency. Averages are based on Ookla’s analysis of Speedtest data. A lower level of latency is a positive indicator for better performance.<br>Note: The data source for this indicator changed from Cisco to Ookla in the fourth edition of the index. Data and scores for past years for this indicator have been backscored to reflect this change.,,,,,,,
1.2.4,Average mobile upload speed,,,,0.1428571429,0.76,30.72,Mbps,Economist Impact estimate; Ookla,Measure of average mobile upload speed,This measures average mobile upload speed. Averages are based on Ookla’s analysis of Speedtest data. A faster speed is a positive indicator for better performance.<br>Note: The data source for this indicator changed from Cisco to Ookla in the fourth edition of the index. Data and scores for past years for this indicator have been backscored to reflect this change.,,,,,,,
1.2.5,Average mobile download speed,,,,0.1428571429,2.08,216.28,Mbps,Economist Impact estimate; Ookla,Measure of average mobile download speed,This measures average mobile download speed. Averages are based on Ookla’s analysis of Speedtest data. A faster speed is a positive indicator for better performance. Note: The data source for this indicator changed from Cisco to Ookla in the fourth edition of the index. Data and scores for past years for this indicator have been backscored to reflect this change.,,,,,,,
1.2.6,Average mobile latency,true,,,0.1428571429,22,299,ms,Economist Impact estimate; Ookla,Measure of how long it takes data to travel between its source and destination,This measures average mobile latency. Averages are based on Ookla’s analysis of Speedtest data. A lower level of latency is a positive indicator for better performance.<br>Note: The data source for this indicator changed from Cisco to Ookla in the fourth edition of the index. Data and scores for past years for this indicator have been backscored to reflect this change.,,,,,,,
1.2.7,Bandwidth capacity,,,,0.1428571429,0,3000000,Bit/s per Internet user,ITU,"Total used capacity of international Internet bandwidth, in bits per second per Internet user.",Used international Internet bandwidth refers to the average traffic load (expressed in bit/s) of international fiber-optic cables and radio links for carrying Internet traffic.,,,,,,,
1.3,Infrastructure,,,calculated,0.25,0,100,Score 0-100 where 100=most Inclusive Internet environment,EIU calculation,Infrastructure measures the network availability and access points to an Internet or mobile connection.,,,,,,,,
1.3.1,Network coverage (min. 2G),,,,0.04,50,100,% of population,GSMA Intelligence; ITU,Percentage of the population covered by a mobile-cellular network refers to the percentage of inhabitants within range of a mobile-cellular signal;  irrespective of whether or not they are subscribers or users.,"This is calculated by dividing the number of inhabitants within range of a mobile-cellular signal by the total population and multiplying by 100. 2G networks include the following mobile broadband technologies: cdmaOne, CDMA2000 1X, GSM, PDC, PHS, iDEN, and TDMA. <br><br>Note: Data quality for ITU indicators is dependent upon timely and accurate reporting from countries' telecommunication regulators and other relevant ministries.",,,,,,,
1.3.2,Network coverage (min. 3G),,,,0.101,0,100,% of population,ITU,Percentage of the population covered by at least a 3G mobile network refers to the percentage of inhabitants that are within range of at least a 3G mobile-cellular signal;  irrespective of whether or not they are subscribers.,"This is calculated by dividing the number of inhabitants that are covered by at least a 3G mobile-cellular signal by the total population and multiplying by 100. 3G networks include the following mobile broadband technologies: CDMA2000 1xEV-DO, CDMA2000 1xEV-DO Rev. A, CDMA2000 1xEV-DO Rev. B, WCDMA, WCDMA HSPA, and TD-SCDMA.<br><br>Note: Data quality for ITU indicators is dependent upon timely and accurate reporting from countries' telecommunication regulators and other relevant ministries.",,,,,,,
1.3.3,Network coverage (min. 4G),,,,0.211,0,100,% of population,ITU; ITU; Economist Impact estimate,Percentage of the population covered by at least an LTE/WiMAX mobile network refers to the percentage of inhabitants that live within range of LTE/LTE-Advanced;  mobile WiMAX/WirelessMAN or other more advanced mobile-cellular networks;  irrespective of whether or not they are subscribers.,This is calculated by dividing the number of inhabitants that are covered by the previously mentioned mobile-cellular technologies by the total population and multiplying by 100. It excludes people covered only by HSPA;  UMTS;  EV-DO and previous 3G technologies;  and also excludes fixed WiMAX coverage. <br><br>Note: Data quality for ITU indicators is dependent upon timely and accurate reporting from countries' telecommunication regulators and other relevant ministries.,,,,,,,
1.3.4,5G deployment,,,,0.12,0,2,"Qualitative rating 0-2, 2=best","Ookla, Telegeography,  Economist Impact country research; Ookla, Telegeography, Economist Impact Country Research",Has 5G been implemented in any city in the country either for full commercial use or for trials?,"Assesses whether operators have implemented 5G New Radio (NR) technology in the country, including as part of a trial or a fuller commercial deployment. Limited availability refers to a 5G network that is present but where devices are limited to select users, usually in a testing environment. Commercial availability refers to a 5G network where any consumer can purchase a device for use on this network.<br><br>Note: This indicator was included for the first time in the fourth edition.","No, 5G has not been implemented in any city in the country","Yes, 5G has been implemented in at least one city for trials","Yes, 5G has been implemented in at least one city for full commercial or public usage",,,,
1.3.5,Government initiatives to make Wi-Fi available,,,,0.12,0,2,"Qualitative rating 0-2, 2=best",Economist Impact country research,Does the government provide public Wi-Fi access in the largest city in the country and is it free to connect to?,"Assesses whether the network is free to join or not. “Public” means that the Wi-Fi network and associated hotspot(s) must be accessible in a public park, library, public building, airport, train or ferry terminal.   ""Largest city"" means largest city in the country by population.","No, the government does not provide public Wi-Fi access in the largest city in the country","Yes, the government does provide public Wi-Fi access in the largest city in the country","Yes, the government does provide public Wi-Fi access in the largest city and the country and it is free",,,,
