name,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.2.6,1.2.7,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.3.6,1.3.7,1.4.1,1.4.2,2.1.1,2.1.2,2.1.3,2.1.4,2.2.1,2.2.2,2.2.3,3.1.1,3.1.2,3.1.3,3.2.1,3.2.2,3.2.3,3.2.4,3.2.5,3.2.6,3.2.7,3.2.8,4.1.1,4.1.2,4.1.3,4.1.4,4.2.1,4.2.2,4.2.3,4.2.4,4.2.5,4.2.6,4.3.1.1,4.3.1.2,4.3.1.3,4.3.2,4.3.3,4.3.4,4.3.5.1,4.3.5.2,4.3.6,4.3.7
Algeria,74.3229689067202,16.1600357621815,91.2715517241379,57.8014184397163,84.4660194174757,0.180171162604474,0.184628369467743,64.3312101910828,15.066129959747,6.13101713353277,43.3333333333333,0.203573328151452,95.6850053937433,94.8507462686567,30.64,0,100,0,0,100,100,32.1608040201005,90.1422764227642,93.8167509836987,99.3246060201784,7.07635009310987,50,0,100,33.3333333333333,50,50,22.8571428571429,66.6666666666667,0,70,33.4096109839817,54.8387096774194,50,68.3673469387755,51.2,33.3333333333333,0,100,44.1176470588235,24.1379310344828,54.1666666666667,62.5,17.0771756978653,0,0,0,50,66.6666666666667,100,100,0,100,0
Argentina,75.827482447342,42.6240500670541,100,90.1891252955083,99.5839112343967,3.11796206396076,15.994091892177,85.3503184713376,35.365152386429,20.3919635572478,80,0.508780936008195,95.6850053937433,92.5373134328358,85,50,100,100,18.595450049456,100,85.0609756097561,44.1206030150754,94.8170731707317,97.6672287802136,99.4596848161428,11.2662942271881,50,50,100,66.6666666666667,100,100,65.7142857142857,66.6666666666667,32.1428571428571,70,46.9107551487414,51.6129032258064,100,98.2993197278912,72,100,50,100,64.7058823529412,31.0344827586207,66.6666666666667,45.8333333333333,57.3070607553366,100,100,0,100,100,100,100,100,100,0
Australia,86.0581745235707,71.9490388913724,82.3275862068965,80.9692671394799,91.5395284327323,9.15870076572744,20.5676003587065,89.8089171974522,70.2127659574468,58.4239869458798,93.3333333333333,0.812745087402189,98.705501618123,99.1044776119403,99,100,100,100,26.4754368611935,100,100,94.070351758794,97.9674796747967,99.2411467116357,99.8499124489285,53.9416511483551,50,100,100,100,100,100,40,100,39.2857142857143,80,94.7368421052632,41.9354838709677,100,100,88.8,100,50,100,52.9411764705882,58.6206896551724,33.3333333333333,8.33333333333333,50.7389162561576,100,100,100,100,100,100,100,100,0,100
Austria,88.7662988966901,63.2990612427358,92.9956896551724,80.8510638297872,95.9778085991678,7.60222211100545,27.1087197341351,92.3566878980892,60.4370327774583,39.70968180582,96.6666666666667,0.630005750376603,97.8425026968716,97.0149253731343,98,100,100,100,15.2983844378503,100,100,69.1457286432161,99.6951219512195,99.5784148397976,99.9182856666389,35.0093109869646,50,50,100,100,100,100,48.5714285714286,100,67.8571428571429,60,92.3340961098398,58.0645161290323,100,100,88,100,50,100,61.7647058823529,51.7241379310345,54.1666666666667,37.5,47.4548440065681,100,100,100,100,100,100,100,100,100,100
Azerbaijan,78.1344032096289,40.6124273580688,71.875,65.7210401891253,78.6407766990291,10.8903458285371,9.26306905101018,85.3503184713376,66.9925244393329,25.6102121294534,93.3333333333333,0.629079253404358,100,95.3731343283582,49,50,100,100,0,100,100,22.8140703517588,93.4959349593496,98.0607082630691,99.7732010339365,6.51769087523278,50,100,100,100,50,50,41.4285714285714,100,35.7142857142857,65,60.4118993135011,14.5161290322581,50,99.6598639455782,71.2,33.3333333333333,25,100,33.8235294117647,46.551724137931,50,35.4166666666667,18.3908045977011,0,0,0,100,66.6666666666667,100,0,0,100,0
Bahrain,97.4924774322969,25.7934734018775,100,83.2151300236407,95.9778085991678,3.14298583654472,12.4175766207733,97.4522292993631,57.5618171362852,29.6216344846342,96.6666666666667,1.58088422189066,100,100,100,100,100,100,65.8094296076492,100,100,23.21608040201,98.1707317073171,95.7560427206296,99.8065538230635,34.2333954065798,50,0,100,66.6666666666667,100,100,5.71428571428571,100,39.2857142857143,70,59.0389016018307,12.9032258064516,100,95.7482993197279,62.4,100,75,100,50,62.0689655172414,62.5,66.6666666666667,31.0344827586207,100,0,0,0,66.6666666666667,100,100,0,100,100
Bangladesh,6.51955867602808,14.0813589628967,64.7629310344827,17.7304964539007,67.5450762829404,13.2525899604624,11.2412301524503,91.7197452229299,16.9637722829212,8.91861571933642,70,0.287165298397246,99.007551240561,92.8805970149254,58,0,100,100,0.19782393669634,95.3181272509003,78.150406504065,46.9346733668342,88.5670731707317,93.6762225969646,99.4930376052697,1.64494103041589,50,0,100,33.3333333333333,50,50,74.2857142857143,33.3333333333333,53.5714285714286,60,34.324942791762,51.6129032258064,100,55.6122448979592,36,100,25,0,73.5294117647059,62.0689655172414,58.3333333333333,58.3333333333333,45.9770114942529,50,100,0,100,100,100,100,100,100,0
Belgium,87.2617853560682,87.594993294591,71.3362068965517,80.9692671394799,94.5908460471567,7.54216505680396,43.0395104710661,92.9936305732484,63.887291546866,43.0666983954311,93.3333333333333,1.6370591962078,100,100,100,0,100,100,5.73689416419387,100,100,71.2562814070352,97.9166666666667,98.6509274873524,99.9116151088135,43.699565487275,50,50,100,100,100,100,60,100,17.8571428571429,40,90.2745995423341,64.5161290322581,100,100,81.6,100,75,100,58.8235294117647,48.2758620689655,33.3333333333333,41.6666666666667,54.0229885057471,100,100,100,100,66.6666666666667,100,100,100,100,0
Botswana,45.5366098294885,3.91148860080465,100,45.2718676122931,91.4008321775312,3.79860867824433,2.47929524713826,66.8789808917197,20.5865439907993,11.9866739189557,78.8888888888889,0.242096096997406,93.5275080906149,92.5373134328358,65,0,100,0,14.0784701615562,66.9867947178872,25.5081300813008,58.2914572864322,92.5813008130081,94.0134907251265,99.2595680813808,11.5456238361266,50,0,66.6666666666667,100,0,50,42.8571428571429,66.6666666666667,64.2857142857143,70,36.6132723112128,3.2258064516129,0,79.9319727891156,61.6,100,25,100,23.5294117647059,68.9655172413793,41.6666666666667,29.1666666666667,27.4220032840722,0,0,0,100,100,100,100,0,100,0
Brazil,74.8244734202608,33.1917746982566,66.3793103448276,87.2340425531915,99.8613037447989,11.8812872228617,23.2684496492061,92.3566878980892,31.512363427257,20.1200027196084,71.1111111111111,0.349850133019365,91.0032362459547,93.3134328358209,83.05,50,100,100,5.20936366633696,100,98.5772357723577,32.6633165829146,96.7987804878049,86.5935919055649,99.661469190361,10.8007448789572,100,100,100,66.6666666666667,100,100,62.8571428571429,66.6666666666667,64.2857142857143,80,54.8054919908467,41.9354838709677,100,88.4353741496599,49.6,66.6666666666667,0,100,61.7647058823529,55.1724137931034,83.3333333333333,75,70.4433497536946,100,0,100,100,100,100,0,100,100,0
