id,IndicatorName,min,max,invert,weighting,Unit,Source,Description,Notes,Pre_Round,ScoringSystem,ScoringParameter_1,ScoringParameter_2,ScoringParameter_3,Data_Type,DP,ZERO,ONE,TWO,THREE,FOUR,FIVE,SIX
1.1.1,Internet users,0,100,,0.2,% of households,Brazilian Institute of Geography and Statistics (IBGE); Census and Statistics Department; Central Statistics Bureau of Latvia; ITU; National Communications Commission; Swedish Post and Telecom Authority,Percentage of households with Internet ,"Can include both estimates and survey data corresponding to the proportion of households with Internet. The Internet is a world-wide public computer network. It provides access to a number of communication services including the World Wide Web and carries email;  news;  entertainment and data files. Access is not assumed to be only via a computer - it may also be by mobile phone;  games machine;  digital TV etc. The proportion of households with Internet access at home is calculated by dividing the number of in-scope households with Internet access by the total number of in-scope households. Internet users are individuals who have used the Internet (from any location) in the last 12 months. Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",Yes,2,,,,1,1,,,,,,,
1.1.2,Fixed-line broadband subscribers,0,100,,0.2,Per 100 inhabitants,ITU; Office of the Communications Authority; Swedish Post and Telecom Authority,Fixed-line broadband subscriptions per 100 inhabitants,"Fixed broadband subscriptions refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s. This includes cable modem, DSL, fiber-to-the-home/building, other fixed (wired)-broadband subscriptions, satellite broadband and terrestrial fixed wireless broadband. This total is measured irrespective of the method of payment. It excludes subscriptions that have access to data communications (including the Internet) via mobile-cellular networks. It should include fixed WiMAX and any other fixed wireless technologies. It includes both residential subscriptions and subscriptions for organizations.",Yes,2,,,,1,2,,,,,,,
1.1.3,Mobile subscribers,0,150,,0.2,Per 100 inhabitants,ITU; Swedish Post and Telecom Authority,Mobile-cellular telephone subscriptions per 100 inhabitants,"Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service that provide access to the PSTN using cellular technology. This includes (and is split into) the number of postpaid subscriptions, and the number of active prepaid accounts (i.e. that have been used during the last three months) and applies to all mobile cellular subscriptions that offer voice communications. It excludes subscriptions via data cards or USB modems, subscriptions to public mobile data services, private trunked mobile radio, telepoint, radio paging and telemetry services. There is a cap on mobile subscriptions at 130. All countries that exceed this value will receive 130 as the maximum possible value. This cap accounts for differences in SIM user behavior, including influxes in tourism, migrant workers, and other factors that can play into the over-estimation of the number of subscribers.",Yes,2,,,,1,1,,,,,,,
1.1.4,Gender gap in internet access,-100,100,true,0.2,% difference,EIU; Gallup World Poll; ITU,Gap between male and female access to the Internet,"This measures the gap between male and female access to the Internet. Positive values indicate that male access exceeds female access. Negative values indicate greater female connectivity. Note: The EIU has adopted a new method to calculate the gender gap ratio according to the following formula: (Male access - Female access) / Male access. Scores for past years for this indicator have been backscored to reflect this change. In past versions of the index, the EIU calculated the gender gap ratio with female access as the denominator: (Male access - Female access) / Female access.",Yes,2,,,,1,1,,,,,,,
1.1.5,Gender gap in mobile phone access,-100,100,true,0.2,% difference,EIU; Gallup World Poll,Gap between male and female access to mobile phone,"This measures the gap between male and female access to mobile phones. Positive values indicate that male access exceeds female access. Negative values indicate greater female connectivity. Note: The EIU has adopted a new method to calculate the gender gap ratio according to the following formula: (Male access - Female access) / Male access. Scores for past years for this indicator have been backscored to reflect this change. In past versions of the index, the EIU calculated the gender gap ratio with female access as the denominator: (Male access - Female access) / Female access.",Yes,2,,,,1,1,,,,,,,
1.2.1,Average fixed broadband upload speed,1730,201540,,0.142857143,Kbps,Ookla,Measure of average fixed-line broadband upload speed,"This measures average fixed broadband upload speed. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance. Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.",With caveat,2,,,,1,0,,,,,,,
1.2.2,Average fixed broadband download speed,3640,193210,,0.142857143,Kbps,Ookla,Measure of average fixed-line broadband download speed,"This measures average fixed broadband download speed. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance. Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.",With caveat,2,,,,1,0,,,,,,,
1.2.3,Average fixed broadband latency,8,165,true,0.142857143,ms,Ookla,Measure of how long it takes data to travel between its source and destination,"This measures average fixed broadband latency. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance. Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.",With caveat,2,,,,1,0,,,,,,,
1.2.4,Average mobile upload speed,4460,21850,,0.142857143,Kbps,EIU; Ookla,Measure of average mobile upload speed,"This measures average mobile upload speed. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance. Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.",With caveat,2,,,,1,0,,,,,,,
1.2.5,Average mobile download speed,126,117790,,0.142857143,Kbps,EIU; Ookla,Measure of average mobile download speed,"This measures average mobile download speed. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance. Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.",With caveat,2,,,,1,0,,,,,,,
