SeriesID,SeriesCode,ParentCode,Depth,HasData,IsDependent,IndexNumber,IndicatorName,Unit,Source,Description,Notes,Minimum,Maximum,Pre_Round,Polarity,ScoringSystem,ScoringParameter_1,ScoringParameter_2,ScoringParameter_3,Data_Type,DP,ZERO,ONE,TWO,THREE,FOUR,FIVE,SIX,DP,NumberedSeries,NumberFormat,Children,Parent,ScoreSummary,ScoreExplanation,Qual_Key,IndicatorTypeDescription,,DEFAULT_WEIGHT_NOMINAL,DEFAULT_WEIGHT_PERCENT
1,OVERALL,,0,0,0,,Overall,,,"The overall Index score based on the scores of the Availability, Affordability, Relevance and Readiness categories.",,,,,1,1,,,,,1,,,,,,,,,OVERALL,"#,0.0",1) AVAILABILITY{NL}2) AFFORDABILITY{NL}3) RELEVANCE{NL}4) READINESS{NL},,,"COMPOSITE OVERALL SCORE{NL}{NL}The overall Index score based on the scores of the Availability, Affordability, Relevance and Readiness categories.{NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}1) AVAILABILITY{NL}2) AFFORDABILITY{NL}3) RELEVANCE{NL}4) READINESS{NL}{NL}{NL}SOURCE{NL}EIU calculation",,COMPOSITE OVERALL SCORE,,,
2,AVAILABILITY,OVERALL,1,0,0,1,Availability,,,This category examines the quality and breadth of available infrastructure required for access and levels of Internet usage. ,,,,,1,1,,,,,1,,,,,,,,,1) AVAILABILITY,"#,0.0",1.1) USAGE{NL}1.2) QUALITY{NL}1.3) INFRASTRUCTURE{NL}1.4) ELECTRICITY{NL},,,COMPOSITE CATEGORY SCORE{NL}{NL}This category examines the quality and breadth of available infrastructure required for access and levels of Internet usage. {NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}1.1) USAGE{NL}1.2) QUALITY{NL}1.3) INFRASTRUCTURE{NL}1.4) ELECTRICITY{NL}{NL}{NL}SOURCE{NL}EIU calculation,,COMPOSITE CATEGORY SCORE,,4,0.4
3,AVAILABILITY_01,AVAILABILITY,2,0,0,1.1,Usage,,,"Usage measures the size of the connected population, in terms of Internet and mobile connectivity.",,,,,1,1,,,,,1,,,,,,,,,1.1) USAGE,"#,0.0",1.1.1) Internet users{NL}1.1.2) Fixed-line broadband subscribers{NL}1.1.3) Mobile subscribers{NL}1.1.4) Gender gap in internet access{NL}1.1.5) Gender gap in mobile phone access{NL},AVAILABILITY,,"COMPOSITE SUB-CATEGORY SCORE{NL}{NL}Usage measures the size of the connected population, in terms of Internet and mobile connectivity.{NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}1.1.1) Internet users{NL}1.1.2) Fixed-line broadband subscribers{NL}1.1.3) Mobile subscribers{NL}1.1.4) Gender gap in internet access{NL}1.1.5) Gender gap in mobile phone access{NL}{NL}{NL}SOURCE{NL}EIU calculation",,COMPOSITE SUB-CATEGORY SCORE,,1,0.25
4,INTH,AVAILABILITY_01,3,1,0,1.1.1,Internet users,% of households,Brazilian Institute of Geography and Statistics (IBGE); Census and Statistics Department; Central Statistics Bureau of Latvia; ITU; National Communications Commission; Swedish Post and Telecom Authority,Percentage of households with Internet ,"Can include both estimates and survey data corresponding to the proportion of households with Internet. The Internet is a world-wide public computer network. It provides access to a number of communication services including the World Wide Web and carries email;  news;  entertainment and data files. Access is not assumed to be only via a computer - it may also be by mobile phone;  games machine;  digital TV etc. The proportion of households with Internet access at home is calculated by dividing the number of in-scope households with Internet access by the total number of in-scope households. Internet users are individuals who have used the Internet (from any location) in the last 12 months. Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",0.3,100,Yes,1,2,,,,1,1,,,,,,,,,1.1.1) Internet users,"#,0.0",,AVAILABILITY -> USAGE,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Percentage of households with Internet {NL}{NL}Can include both estimates and survey data corresponding to the proportion of households with Internet. The Internet is a world-wide public computer network. It provides access to a number of communication services including the World Wide Web and carries email;  news;  entertainment and data files. Access is not assumed to be only via a computer - it may also be by mobile phone;  games machine;  digital TV etc. The proportion of households with Internet access at home is calculated by dividing the number of in-scope households with Internet access by the total number of in-scope households. Internet users are individuals who have used the Internet (from any location) in the last 12 months. Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.{NL}{NL}UNDERLYING DATA SERIES{NL}Internet users, % of households{NL}{NL}SOURCE{NL}Brazilian Institute of Geography and Statistics (IBGE); Census and Statistics Department; Central Statistics Bureau of Latvia; ITU; National Communications Commission; Swedish Post and Telecom Authority",,QUANTITATIVE DATA INDICATOR,,1,0.2
5,FISP,AVAILABILITY_01,3,1,0,1.1.2,Fixed-line broadband subscribers,Per 100 inhabitants,ITU; Office of the Communications Authority; Swedish Post and Telecom Authority,Fixed-line broadband subscriptions per 100 inhabitants,"Fixed broadband subscriptions refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s. This includes cable modem, DSL, fiber-to-the-home/building, other fixed (wired)-broadband subscriptions, satellite broadband and terrestrial fixed wireless broadband. This total is measured irrespective of the method of payment. It excludes subscriptions that have access to data communications (including the Internet) via mobile-cellular networks. It should include fixed WiMAX and any other fixed wireless technologies. It includes both residential subscriptions and subscriptions for organizations.",0.03,44.77,Yes,1,2,,,,1,2,,,,,,,,,1.1.2) Fixed-line broadband subscribers,"#,0.00",,AVAILABILITY -> USAGE,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Fixed-line broadband subscriptions per 100 inhabitants{NL}{NL}Fixed broadband subscriptions refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s. This includes cable modem, DSL, fiber-to-the-home/building, other fixed (wired)-broadband subscriptions, satellite broadband and terrestrial fixed wireless broadband. This total is measured irrespective of the method of payment. It excludes subscriptions that have access to data communications (including the Internet) via mobile-cellular networks. It should include fixed WiMAX and any other fixed wireless technologies. It includes both residential subscriptions and subscriptions for organizations.{NL}{NL}UNDERLYING DATA SERIES{NL}Fixed-line broadband subscribers, Per 100 inhabitants{NL}{NL}SOURCE{NL}ITU; Office of the Communications Authority; Swedish Post and Telecom Authority",,QUANTITATIVE DATA INDICATOR,,1,0.2
6,MOBP,AVAILABILITY_01,3,1,0,1.1.3,Mobile subscribers,Per 100 inhabitants,ITU; Swedish Post and Telecom Authority,Mobile-cellular telephone subscriptions per 100 inhabitants,"Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service that provide access to the PSTN using cellular technology. This includes (and is split into) the number of postpaid subscriptions, and the number of active prepaid accounts (i.e. that have been used during the last three months) and applies to all mobile cellular subscriptions that offer voice communications. It excludes subscriptions via data cards or USB modems, subscriptions to public mobile data services, private trunked mobile radio, telepoint, radio paging and telemetry services. There is a cap on mobile subscriptions at 130. All countries that exceed this value will receive 130 as the maximum possible value. This cap accounts for differences in SIM user behavior, including influxes in tourism, migrant workers, and other factors that can play into the over-estimation of the number of subscribers.",37.2,130,Yes,1,2,,,,1,1,,,,,,,,,1.1.3) Mobile subscribers,"#,0.0",,AVAILABILITY -> USAGE,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Mobile-cellular telephone subscriptions per 100 inhabitants{NL}{NL}Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service that provide access to the PSTN using cellular technology. This includes (and is split into) the number of postpaid subscriptions, and the number of active prepaid accounts (i.e. that have been used during the last three months) and applies to all mobile cellular subscriptions that offer voice communications. It excludes subscriptions via data cards or USB modems, subscriptions to public mobile data services, private trunked mobile radio, telepoint, radio paging and telemetry services. There is a cap on mobile subscriptions at 130. All countries that exceed this value will receive 130 as the maximum possible value. This cap accounts for differences in SIM user behavior, including influxes in tourism, migrant workers, and other factors that can play into the over-estimation of the number of subscribers.{NL}{NL}UNDERLYING DATA SERIES{NL}Mobile subscribers, Per 100 inhabitants{NL}{NL}SOURCE{NL}ITU; Swedish Post and Telecom Authority",,QUANTITATIVE DATA INDICATOR,,1,0.2
7,FMAI,AVAILABILITY_01,3,1,0,1.1.4,Gender gap in internet access,% difference,EIU; Gallup World Poll; ITU,Gap between male and female access to the Internet,"This measures the gap between male and female access to the Internet. Positive values indicate that male access exceeds female access. Negative values indicate greater female connectivity.

Note: The EIU has adopted a new method to calculate the gender gap ratio according to the following formula: (Male access - Female access) / Male access. Scores for past years for this indicator have been backscored to reflect this change. In past versions of the index, the EIU calculated the gender gap ratio with female access as the denominator: (Male access - Female access) / Female access.",-14,70.6,Yes,2,2,,,,1,1,,,,,,,,,1.1.4) Gender gap in internet access,"#,0.0",,AVAILABILITY -> USAGE,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Gap between male and female access to the Internet{NL}{NL}This measures the gap between male and female access to the Internet. Positive values indicate that male access exceeds female access. Negative values indicate greater female connectivity.

Note: The EIU has adopted a new method to calculate the gender gap ratio according to the following formula: (Male access - Female access) / Male access. Scores for past years for this indicator have been backscored to reflect this change. In past versions of the index, the EIU calculated the gender gap ratio with female access as the denominator: (Male access - Female access) / Female access.{NL}{NL}UNDERLYING DATA SERIES{NL}Gender gap in internet access, % difference{NL}{NL}SOURCE{NL}EIU; Gallup World Poll; ITU",,QUANTITATIVE DATA INDICATOR,,1,0.2
8,FMAM,AVAILABILITY_01,3,1,0,1.1.5,Gender gap in mobile phone access,% difference,EIU; Gallup World Poll,Gap between male and female access to mobile phone,"This measures the gap between male and female access to mobile phones. Positive values indicate that male access exceeds female access. Negative values indicate greater female connectivity.

Note: The EIU has adopted a new method to calculate the gender gap ratio according to the following formula: (Male access - Female access) / Male access. Scores for past years for this indicator have been backscored to reflect this change. In past versions of the index, the EIU calculated the gender gap ratio with female access as the denominator: (Male access - Female access) / Female access.",-3.9,68.2,Yes,2,2,,,,1,1,,,,,,,,,1.1.5) Gender gap in mobile phone access,"#,0.0",,AVAILABILITY -> USAGE,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Gap between male and female access to mobile phone{NL}{NL}This measures the gap between male and female access to mobile phones. Positive values indicate that male access exceeds female access. Negative values indicate greater female connectivity.

Note: The EIU has adopted a new method to calculate the gender gap ratio according to the following formula: (Male access - Female access) / Male access. Scores for past years for this indicator have been backscored to reflect this change. In past versions of the index, the EIU calculated the gender gap ratio with female access as the denominator: (Male access - Female access) / Female access.{NL}{NL}UNDERLYING DATA SERIES{NL}Gender gap in mobile phone access, % difference{NL}{NL}SOURCE{NL}EIU; Gallup World Poll",,QUANTITATIVE DATA INDICATOR,,1,0.2
9,AVAILABILITY_02,AVAILABILITY,2,0,0,1.2,Quality,,,Quality measures the quality of experience the connected population receives while using the Internet.,,,,,1,1,,,,,1,,,,,,,,,1.2) QUALITY,"#,0.0",1.2.1) Average fixed broadband upload speed{NL}1.2.2) Average fixed broadband download speed{NL}1.2.3) Average fixed broadband latency{NL}1.2.4) Average mobile upload speed{NL}1.2.5) Average mobile download speed{NL}1.2.6) Average mobile latency{NL}1.2.7) Bandwidth capacity{NL},AVAILABILITY,,COMPOSITE SUB-CATEGORY SCORE{NL}{NL}Quality measures the quality of experience the connected population receives while using the Internet.{NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}1.2.1) Average fixed broadband upload speed{NL}1.2.2) Average fixed broadband download speed{NL}1.2.3) Average fixed broadband latency{NL}1.2.4) Average mobile upload speed{NL}1.2.5) Average mobile download speed{NL}1.2.6) Average mobile latency{NL}1.2.7) Bandwidth capacity{NL}{NL}{NL}SOURCE{NL}EIU calculation,,COMPOSITE SUB-CATEGORY SCORE,,1,0.25
10,AFBU,AVAILABILITY_02,3,1,0,1.2.1,Average fixed broadband upload speed,Kbps,Ookla,Measure of average fixed-line broadband upload speed,"This measures average fixed broadband upload speed. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance.

Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.",1730,201540,With caveat,1,2,,,,1,0,,,,,,,,,1.2.1) Average fixed broadband upload speed,"#,##0",,AVAILABILITY -> QUALITY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Measure of average fixed-line broadband upload speed{NL}{NL}This measures average fixed broadband upload speed. Averages are based on Ookla_s analysis of Speedtest data. A faster speed is a positive indicator for better performance.

Note: The data source for this indicator has changed from Cisco to Ookla.  Given the different data source, current edition data may not be comparable with data from previous editions.{NL}{NL}UNDERLYING DATA SERIES{NL}Average fixed broadband upload speed, Kbps{NL}{NL}SOURCE{NL}Ookla",,QUANTITATIVE DATA INDICATOR,,1,0.142857143
