id,indicatorName,min,max,invert,diverging,weighting,type,
1,approachability,,,,,1,calculated,
2,theme,,,,,1,calculated,
3,value,,,,,1,calculated,
1.1,thinkyness,0,10,,,1,,
1.2,rules complexity,0,10,,,1,,
1.3,mechanical familiarity,0,10,,,1,,
1.4 ,rule book quality,0,10,,,1,,
1.5,play length,0.5,8,,,1,,
1.6,fun,0,10,,,1,,
2.1,theme integration,0,10,,,1,,
2.2,theme novelty,0,10,,,1,,
2.3,inclusivity,,,,,1,calculated,
2.3.1,character gender bias,-10,10,true,true,1,,
2.3.2,character racial bias,-10,10,true,true,1,,
3.1,price,10,100,,,1,,
3.2,replayablity,1,100,,,1,,
