name,1.1.1,1.1.2,1.1.3,1.1.4,1.2.1,1.2.2,1.2.3,1.3.1,1.3.2.a,1.3.2.b,1.3.3,1.3.4,2.1.1,2.1.2,2.2.1,2.2.2,2.3.1,2.3.2,2.4.1,2.4.2,2.4.3,2.4.4,2.5.1,2.5.2,2.5.3,3.1.1.a,3.1.1.b,3.1.1.c,3.1.2.a,3.1.2.b,3.1.2.c,3.2.1,3.2.2,3.3.1,3.3.2,3.3.3,3.4.1,3.4.2,3.4.3.a,3.4.3.b,3.4.4.a,3.4.4.b,3.4.5,3.5.1,3.5.2,3.5.3,3.5.4,,BG_1.01,BG_1.02,BG_1.03,BG_1.04,BG_1.05,BG_1.06,BG_1.07,BG_1.08,BG_1.09,BG_1.10,BG_1.11,BG_1.12,BG_1.13,BG_2.1,BG_2.2,BG_2.3,BG_2.4,BG_2.5,BG_2.6,BG_2.7
Abu Dhabi,1,3,3,3,96.7,2,3,1,0,1,0,2,96,96,90.9,96.3,100,0,0,1,1,57.4,3,3,2,2,0,0,63,0,85,2,1.5,2,1,1,1,0,1,1,0,1,64.4,1,1,1,1,,78.19,2.84,0.0176,"1,100",100,0,0,1.2,16,14.5,27.7,58.5,3324000000,1.35,2.28,1.61,"67,299",4.3,5,1.75
Accra,0,2,2,3,33,2,1,1,1,2,2,1,30,30,15,8.5,100,0,1,2,2,49.6,2,0,2,0,0,0,8.5,0,7.6,1,58,0,1,1,1,0,0,0,0,0,67,0,0,1,1,,0.11,,0.0121,76,,,,58,,100,0,0,177284515,2.58,2.46,3.26,"5,301",2.6,5,2.07
Addis Ababa,1,1,2,1,100,2,3,1,2,1,0,0,99.4,99.4,6.5,8.7,100,1,0,1,0,38,0,3,2,0,0,1,0,0,0,0,40,1,1,0,0,0,1,0,0,0,57,0,0,0,1,,10.77,0.13,0.0009,17,,,,40,60,100,0,0,,3.93,4.09,5.86,"2,155",4,3,4.34
Algiers,0,0,2,3,100,2,3,0,2,2,1,0,91,100,94,80,80,0,0,2,1,51.5,3,3,2,0,1,0,80,0,63,1,42,0,1,1,1,0,0,0,0,0,63.4,1,1,1,1,,119.15,,0.0083,165,100,0,0,42,,0,21,79,438000000,2.9,2.2,3.41,"11,828",2.9,13,1.64
Amman,1,1,2,2,95,2,3,1,1,2,1,0,99,99,25,80,100,0,1,0,0,35,3,3,2,3,1,0,95,95,76,0,38.7,2,1,1,1,0,0,0,0,1,50,1,0,1,1,,114.54,,0.001,120,100,0,0,38.7,,24,95,0,200058605,1.17,0.94,1.36,"9,510",1,19,1.13
Antwerp,1,0,0,1,100,2,3,1,2,2,1,2,100,100,100,100,100,1,0,2,2,28,2,3,2,4,1,2,100,100,100,2,12.1,0,1,1,1,0,0,0,0,0,59,1,1,1,1,,110.87,1.7,0.0017,110,100,0,0,12.1,,0,0,100,144000000,1.12,0.5,1.17,"59,546",3.9,6,0.43
Baku,1,3,2,0,100,2,3,0,0,2,0,0,78,78,30,43.5,90,0,0,0,2,21,2,2,0,0,1,0,0,0,0,2,31,0,0,0,1,0,0,0,0,0,26,0,1,0,0,,290.4,0.7,0.0293,583,,,,31,,43.5,43.5,0,650000000,2.67,1.6,2.97,"14,541",2.8,6,1.28
Bangkok,1,0,1,1,100,2,3,1,2,2,3,1,44.1,44.1,40,40,100,0,1,2,2,28.6,2,3,2,0,1,0,5,0,5,2,25,1,1,1,0,0,0,0,0,1,60,0,1,1,0,,21.36,,0.021,"1,630",100,0,0,25,,88.5,11.5,0,1467400000,10.31,1.7,11.53,"18,528",2.9,1,1.56
Buenos Aires,1,0,0,1,99.3,2,3,1,0,2,3,2,97.5,100,97.9,97.9,39,1,1,2,2,25,1,3,2,1,1,0,0,0,0,2,40,1,0,1,1,0,1,1,0,0,71,0,1,1,1,,0.16,,0.0001,336,,,,40,,100,0,0,2135963210,16.02,0.8,16.96,"21,960",6.2,12,0.77
Cairo,0,0,0,0,99.8,2,3,1,1,2,0,2,94.8,94.8,96.6,97,47,0,0,0,0,65.4,0,0,0,1,0,0,97,35,0,1,33,0,1,1,1,0,1,0,0,0,53.8,1,0,0,0,,49.55,,0.0012,358,,,,29,14.2,0,100,0,9678000000,20.93,1.7,24.49,"11,802",3.3,10,1.98
Calgary,1,3,2,1,100,2,3,1,2,2,3,1,100,100,100,100,99,0,1,2,2,25,3,2,2,4,0,0,100,100,100,2,12,2,0,1,1,0,0,0,0,1,35,1,1,1,1,,53.98,,0.0038,356,100,0,0,12,,0,0,100,187236000,1.48,1.4,1.63,"50,226",5.4,9,1.74
Cape Town,1,3,2,3,95.9,2,2,1,2,2,1,0,86,98,93.4,66.6,99,1,1,2,2,35,0,2,2,0,0,0,0,0,0,2,15,2,1,1,1,0,1,0,0,1,62,1,1,1,1,,82.39,0,0,49,100,0.1,0,15,365,5,95,0,266450000,3.9,1.1,4.32,"13,260",2.4,29,1.84
Chennai,0,1,2,3,70,2,3,1,0,2,3,0,33,90,39.2,100,1,0,1,0,1,59.4,2,0,0,4,0,0,100,48,0,0,40,1,0,1,1,0,1,1,0,0,73.8,1,1,1,1,,122.62,,0.0001,135,100,0,0,40,90,0,0,100,310250000,11.53,2.4,13.94,"6,627",10.4,7,2.35
Copenhagen,1,3,0,0,99.5,2,3,1,1,2,3,2,100,100,100,100,100,0,1,2,2,27,2,3,2,2,1,2,100,100,100,2,6,2,0,1,1,0,0,0,0,1,75,1,1,1,1,,25.26,,0.0055,100,100,0,0,6,,0,96,0,52800406,2.09,0.9,2.26,"50,434",3,6,0.79
Dakar,1,3,1,3,87,1,3,1,2,2,2,1,96,96,27.8,27.8,96,0,1,0,0,7,1,3,2,0,1,0,25,10,10,1,20,0,1,1,1,0,0,0,0,0,49,1,0,0,1,,144.24,,0.0043,18,100,0,0,20,,12.1,87.9,0,2200000000,4.41,3.79,6.05,"3,395",3,7,3.05
Dallas,1,3,3,3,100,2,3,1,1,2,3,2,99.9,100,99.9,100,100,0,1,2,2,41,3,2,2,0,1,0,100,39.3,0,2,9.9,2,1,1,1,0,0,0,0,1,44,1,1,1,1,,15.81,0.5,0.003,688,100,0,0,9.9,137,0,0,100,526172238,8.04,2.1,9.67,"64,205",6,8,1.32
Donetsk,0,3,0,0,25,0,3,0,0,0,0,0,82,82,87,60,0,0,0,0,0,27.7,0,0,0,0,1,0,0,0,0,1,40,0,0,0,1,0,0,1,0,0,45.5,0,0,0,1,,82.11,,0.002,94,,,,49.5,0,3,97,0,441290000,0.9,-0.7,0.84,"12,652",3.4,9,-0.66
Dushanbe,0,0,2,0,99,2,3,0,0,2,0,2,98,98,60,40,36,1,1,0,2,33,2,1,1,0,0,0,0,0,0,0,48,0,1,1,0,0,0,0,0,0,22,0,0,0,1,,165.96,0.21,0.0067,100,,,,48.4,,100,0,0,160000000,0.98,3.01,1.27,"4,170",3.8,8,2.54
Frankfurt,1,3,3,3,100,2,3,0,1,2,2,2,100,100,99.3,100,100,0,1,2,2,47,1,3,2,0,1,0,100,100,0,2,6.9,0,0,1,0,0,0,0,0,0,74,1,1,1,1,,52.1,2.01,0.0026,126,0,0,0,0,0,100,0,0,53281425,2.8,1,3.05,"61,970",3.5,3,0.67
Hanoi,1,3,2,0,84,0,2,1,2,2,1,2,96,96,60,22,100,0,1,2,2,43,3,3,2,0,0,1,22,0,19,2,15,0,1,1,1,1,0,0,0,1,75.7,1,1,1,1,,7.46,,0.0043,125,,,,15,,22,22,,555000000,4.52,3,5.5,"9,770",5.4,2,3.6
Istanbul,1,2,3,3,100,0,3,1,0,0,3,1,100,100,99.8,99.6,95,0,0,0,1,43.8,1,3,2,1,1,2,98.8,31.9,0,2,22.3,0,1,1,0,0,1,1,0,1,81,1,0,0,1,,95.07,0.7,0.0035,175,100,0,0,22.3,,25.1,38,36.9,1087970256,15.81,1,16.83,"29,660",3.9,14,1.33
Jakarta,0,0,1,2,0,1,0,0,0,1,3,1,-,70,2.1,1,63,1,0,2,1,56.3,2,0,0,1,0,0,35,0,0,1,42.9,1,1,1,0,0,0,0,0,0,71.8,0,1,1,1,,6.62,,0.0008,48,100,0,0,42.9,,100,0,0,1000000000,32.66,1.7,37.76,"11,856",3.9,4,1.54
Kathmandu,1,0,1,3,72.5,2,3,1,2,2,1,1,75,95,15,16,96,1,0,2,2,81.3,1,2,2,0,1,0,0,0,0,0,20,0,1,1,0,0,0,0,0,0,85,0,1,0,0,,74.18,,0.0017,35,,,,20,,100,0,0,985500000,1.44,3.11,1.86,"3,316",3,4,3.23
Kunming,1,3,1,3,99.8,2,3,0,2,2,0,0,100,0,92,100,100,1,1,0,2,59,0,3,1,1,1,0,100,0,98,2,17,0,1,1,1,0,1,1,1,1,78,0,1,1,1,,41.37,,0.0276,732,100,0,0,-,,2,98,0,1850000000,3.97,1.7,4.29,"15,530",8.5,5,2.18
Lahore,0,0,1,0,0,1,0,1,0,0,0,0,37.3,0,33.5,0,0,0,0,0,1,49.5,0,1,2,0,0,0,0,0,0,0,58,1,0,0,0,0,0,0,0,0,63.4,1,0,1,1,,236.93,0.07,0.0022,303,,,,58,30,0,0,0,455000000,10.33,2.8,13.03,"4,855",1.7,5,3.19
Lisbon,1,3,0,3,99.2,2,3,1,2,2,3,2,100,100,100,100,100,1,1,2,2,16,1,3,2,1,1,0,100,35.1,35.1,2,7.8,1,1,1,2,0,0,0,0,1,75,1,1,1,1,,27.77,,0.0031,145,100,0,0,7.8,,0,64.9,35.1,55000000,3.03,0.8,3.2,"41,174",3.8,8,0.48
Lodz,1,3,3,2,100,2,3,0,2,2,3,2,99.9,99,95.2,79.5,14,0,1,0,1,18.6,0,3,2,1,1,0,10,0,75,2,5.3,0,0,1,1,0,0,0,0,0,47.1,0,1,1,1,,71.36,,0.0064,109,,,,5.3,,98.7,0,0,18447000,0.88,-0.6,0.84,"34,527",4.1,4,-0.81
